# Date, spot_meas, millis
2000-01-01T00:00:00Z, 59677, 24.75
2000-01-01T00:00:00Z, 60796, 24.69
2000-01-01T00:00:00Z, 61919, 24.69
2000-01-01T00:00:00Z, 63037, 24.69
2000-01-01T00:00:00Z, 64156, 24.69
2000-01-01T00:00:00Z, 65275, 24.69
2000-01-01T00:00:00Z, 66394, 24.69
2000-01-01T00:00:00Z, 67513, 24.69
2000-01-01T00:00:00Z, 68631, 24.75
2000-01-01T00:00:00Z, 69750, 24.75
2000-01-01T00:00:00Z, 70870, 24.69
2000-01-01T00:00:00Z, 71988, 24.75
2000-01-01T00:00:00Z, 73107, 24.75
2000-01-01T00:00:00Z, 74226, 24.69
2000-01-01T00:00:00Z, 75344, 24.75
2000-01-01T00:00:00Z, 76464, 24.75
2000-01-01T00:00:00Z, 77582, 24.75
2000-01-01T00:00:00Z, 78704, 24.75
2000-01-01T00:00:00Z, 79823, 24.75
2000-01-01T00:00:00Z, 80942, 24.75
2000-01-01T00:00:00Z, 82061, 24.75
2000-01-01T00:00:00Z, 83179, 24.75
2000-01-01T00:00:00Z, 84303, 24.75
2000-01-01T00:00:00Z, 85423, 24.75
2000-01-01T00:00:00Z, 86541, 24.75
2000-01-01T00:00:00Z, 87660, 24.75
2000-01-01T00:00:00Z, 88779, 24.75
2000-01-01T00:00:00Z, 89899, 24.75
2000-01-01T00:00:00Z, 91017, 24.75
2000-01-01T00:00:00Z, 92136, 24.75
2000-01-01T00:00:00Z, 93255, 24.75
2000-01-01T00:00:00Z, 94376, 24.81
2000-01-01T00:00:00Z, 95496, 24.75
2000-01-01T00:00:00Z, 96615, 24.75
2000-01-01T00:00:00Z, 97733, 24.75
2000-01-01T00:00:00Z, 98852, 24.75
2000-01-01T00:00:00Z, 99972, 24.69
2000-01-01T00:00:00Z, 101090, 24.69
2000-01-01T00:00:00Z, 102209, 24.69
2000-01-01T00:00:00Z, 103328, 24.69
2000-01-01T00:00:00Z, 104446, 24.69
2000-01-01T00:00:00Z, 105566, 24.63
2000-01-01T00:00:00Z, 106685, 24.63
2000-01-01T00:00:00Z, 107803, 24.63
2000-01-01T00:00:00Z, 108922, 24.56
2000-01-01T00:00:00Z, 110045, 24.56
2000-01-01T00:00:00Z, 111163, 24.50
2000-01-01T00:00:00Z, 112282, 24.50
2000-01-01T00:00:00Z, 113401, 24.44
2000-01-01T00:00:00Z, 114520, 24.44
2000-01-01T00:00:00Z, 115639, 24.38
2000-01-01T00:00:00Z, 116758, 24.38
2000-01-01T00:00:00Z, 117876, 24.31
2000-01-01T00:00:00Z, 118995, 24.31
2000-01-01T00:00:00Z, 120114, 24.31
2000-01-01T00:00:00Z, 121233, 24.25
2000-01-01T00:00:00Z, 122352, 24.25
2000-01-01T00:00:00Z, 123470, 24.19
2000-01-01T00:00:00Z, 124590, 24.19
2000-01-01T00:00:00Z, 125711, 24.13
2000-01-01T00:00:00Z, 126829, 24.13
2000-01-01T00:00:00Z, 127948, 24.06
2000-01-01T00:00:00Z, 129072, 24.06
2000-01-01T00:00:00Z, 130190, 24.00
2000-01-01T00:00:00Z, 131309, 24.00
2000-01-01T00:00:00Z, 132427, 24.00
2000-01-01T00:00:00Z, 133545, 24.00
2000-01-01T00:00:00Z, 134665, 23.94
2000-01-01T00:00:00Z, 135783, 23.94
2000-01-01T00:00:00Z, 136902, 23.88
2000-01-01T00:00:00Z, 138020, 23.81
2000-01-01T00:00:00Z, 139139, 23.81
2000-01-01T00:00:00Z, 140269, 23.75
2000-01-01T00:00:00Z, 141392, 23.75
2000-01-01T00:00:00Z, 142515, 23.75
2000-01-01T00:00:00Z, 143637, 23.75
2000-01-01T00:00:00Z, 144759, 23.75
2000-01-01T00:00:00Z, 145882, 23.75
2000-01-01T00:00:00Z, 147004, 23.75
2000-01-01T00:00:00Z, 148127, 23.75
2000-01-01T00:00:00Z, 149250, 23.75
2000-01-01T00:00:00Z, 150372, 23.75
2000-01-01T00:00:00Z, 151494, 23.75
2000-01-01T00:00:00Z, 152616, 23.75
2000-01-01T00:00:00Z, 153739, 23.69
2000-01-01T00:00:00Z, 154862, 23.75
2000-01-01T00:00:00Z, 155987, 23.75
2000-01-01T00:00:00Z, 157110, 23.75
2000-01-01T00:00:00Z, 158233, 23.75
2000-01-01T00:00:00Z, 159355, 23.69
2000-01-01T00:00:00Z, 160479, 23.69
2000-01-01T00:00:00Z, 161601, 23.75
2000-01-01T00:00:00Z, 162724, 23.69
2000-01-01T00:00:00Z, 163847, 23.69
2000-01-01T00:00:00Z, 164970, 23.69
2000-01-01T00:00:00Z, 166092, 23.69
2000-01-01T00:00:00Z, 167216, 23.75
2000-01-01T00:00:00Z, 168338, 23.69
2000-01-01T00:00:00Z, 169461, 23.69
2000-01-01T00:00:00Z, 170584, 23.69
2000-01-01T00:00:00Z, 171710, 23.69
2000-01-01T00:00:00Z, 172837, 23.69
2000-01-01T00:00:00Z, 173961, 23.69
2000-01-01T00:00:00Z, 175083, 23.75
2000-01-01T00:00:00Z, 176206, 23.69
2000-01-01T00:00:00Z, 177330, 23.69
2000-01-01T00:00:00Z, 178452, 23.63
2000-01-01T00:00:00Z, 179575, 23.63
2000-01-01T00:00:00Z, 180698, 23.63
2000-01-01T00:00:00Z, 181821, 23.63
2000-01-01T00:00:00Z, 182943, 23.63
2000-01-01T00:00:00Z, 184067, 23.63
2000-01-01T00:00:00Z, 185190, 23.63
2000-01-01T00:00:00Z, 186312, 23.63
2000-01-01T00:00:00Z, 187439, 23.56
2000-01-01T00:00:00Z, 188561, 23.63
2000-01-01T00:00:00Z, 189684, 23.56
2000-01-01T00:00:00Z, 190807, 23.56
2000-01-01T00:00:00Z, 191930, 23.56
2000-01-01T00:00:00Z, 193053, 23.56
2000-01-01T00:00:00Z, 194176, 23.56
2000-01-01T00:00:00Z, 195299, 23.50
2000-01-01T00:00:00Z, 196421, 23.50
2000-01-01T00:00:00Z, 197544, 23.50
2000-01-01T00:00:00Z, 198667, 23.50
2000-01-01T00:00:00Z, 199789, 23.50
2000-01-01T00:00:00Z, 200912, 23.50
2000-01-01T00:00:00Z, 202035, 23.50
2000-01-01T00:00:00Z, 203161, 23.50
2000-01-01T00:00:00Z, 204284, 23.50
2000-01-01T00:00:00Z, 205407, 23.50
2000-01-01T00:00:00Z, 206530, 23.50
2000-01-01T00:00:00Z, 207652, 23.50
2000-01-01T00:00:00Z, 208775, 23.50
2000-01-01T00:00:00Z, 209898, 23.50
2000-01-01T00:00:00Z, 211020, 23.44
2000-01-01T00:00:00Z, 212144, 23.44
2000-01-01T00:00:00Z, 213266, 23.50
2000-01-01T00:00:00Z, 214389, 23.44
2000-01-01T00:00:00Z, 215512, 23.50
2000-01-01T00:00:00Z, 216639, 23.50
2000-01-01T00:00:00Z, 217762, 23.44
2000-01-01T00:00:00Z, 218884, 23.50
2000-01-01T00:00:00Z, 220006, 23.44
2000-01-01T00:00:00Z, 221129, 23.50
2000-01-01T00:00:00Z, 222252, 23.44
2000-01-01T00:00:00Z, 223375, 23.44
2000-01-01T00:00:00Z, 224498, 23.44
2000-01-01T00:00:00Z, 225620, 23.44
2000-01-01T00:00:00Z, 226744, 23.44
2000-01-01T00:00:00Z, 227866, 23.44
2000-01-01T00:00:00Z, 228989, 23.38
2000-01-01T00:00:00Z, 230112, 23.38
2000-01-01T00:00:00Z, 231235, 23.44
2000-01-01T00:00:00Z, 232357, 23.44
2000-01-01T00:00:00Z, 233481, 23.38
2000-01-01T00:00:00Z, 234601, 23.38
2000-01-01T00:00:00Z, 235724, 23.38
2000-01-01T00:00:00Z, 236847, 23.38
2000-01-01T00:00:00Z, 237970, 23.44
2000-01-01T00:00:00Z, 239092, 23.44
2000-01-01T00:00:00Z, 240216, 23.44
2000-01-01T00:00:00Z, 241338, 23.44
2000-01-01T00:00:00Z, 242461, 23.44
2000-01-01T00:00:00Z, 243584, 23.44
2000-01-01T00:00:00Z, 244707, 22.38
2000-01-01T00:00:00Z, 245829, 20.00
2000-01-01T00:00:00Z, 246952, 17.81
2000-01-01T00:00:00Z, 248075, 15.94
